Reporting Date	Sale Month	Store	Artist	Title	ISRC	UPC	Quantity	Team Percentage	Song/Album	Customer Paid	Customer Currency	Country of Sale	Songwriter Royalties Withheld	Earnings (USD)
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		8	100	Song	0	EUR	IE	0	0.003986124616
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		2	100	Song	0	EUR	MX	0	0.000000000000
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		3	100	Song	0	EUR	NZ	0	0.008943414139
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		1	100	Song	0	EUR	PL	0	0.002720599738
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		21	100	Song	0	EUR	SG	0	0.011627218881
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		6	100	Song	0	EUR	AR	0	0.001046984899
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		6	100	Song	0	EUR	CO	0	0.007163874310
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		24	100	Song	0	EUR	PH	0	0.016391613422
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		7	100	Song	0	EUR	BE	0	0.016612383401
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		59	100	Song	0	EUR	CA	0	0.099294085440
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		1	100	Song	0	EUR	AT	0	0.005440084476
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		2	100	Song	0	EUR	FI	0	0.007832874246
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		2	100	Song	0	EUR	FR	0	0.000000000000
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		7	100	Song	0	EUR	CH	0	0.039013846244
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		20	100	Song	0	EUR	DE	0	0.039773161171
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		363	100	Song	0	EUR	MX	0	0.434846613133
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		142	100	Song	0	EUR	MX	0	0.359440285393
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		37	100	Song	0	EUR	NL	0	0.206322925135
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		66	100	Song	0	EUR	BR	0	0.014936538562
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		274	100	Song	0	EUR	CA	0	1.120817962087
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		218	100	Song	0	EUR	ES	0	0.040506831100
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		167	100	Song	0	EUR	FR	0	0.056751264536
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		40	100	Song	0	EUR	CL	0	0.005645244456
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		1	100	Song	0	EUR	CL	0	0.001525319853
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		29	100	Song	0	EUR	IE	0	0.103594640026
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		1	100	Song	0	EUR	IN	0	0.000646699938
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		4	100	Song	0	EUR	NO	0	0.025882492508
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		3	100	Song	0	EUR	SE	0	0.006385604385
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		107	100	Song	0	EUR	SG	0	0.530534788920
